City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Mar Del Plata,AR,64.4,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
2,Ushuaia,AR,53.6,overcast clouds,-54.8,-68.3,Albatros Hotel
3,Hobart,AU,75.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,Punta Arenas,CL,53.6,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
17,Mataura,NZ,74.59,scattered clouds,-46.1927,168.8643,Ellie's Villa
23,Busselton,AU,68.0,clear sky,-33.65,115.3333,Observatory Guest House
24,Bredasdorp,ZA,63.0,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
25,Erice,IT,59.0,scattered clouds,38.037,12.5865,I Mulini Resort
36,Hermanus,ZA,63.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,New Norfolk,AU,75.0,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
43,Dolores,AR,64.47,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
45,Kaitangata,NZ,68.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
46,Airai,TL,65.64,overcast clouds,-8.9266,125.4092,Juvinal Martin
52,Meulaboh,ID,74.7,broken clouds,4.1363,96.1285,Kost Pria
55,Castro,BR,64.85,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
59,Thouars,FR,51.01,overcast clouds,46.976000000000006,-0.2151,Contact-Hotel-du-Relais
61,Cape Town,ZA,66.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
64,Caldwell,US,53.6,few clouds,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
66,Esperance,AU,62.6,scattered clouds,-33.8667,121.9,Hospitality Esperance
70,Victoria,HK,64.0,clear sky,22.2855,114.1577,Mini Hotel Central
72,Atambua,ID,74.07,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
76,Port Alfred,ZA,71.01,light rain,-33.5906,26.891,The Halyards Hotel
83,Mount Pleasant,US,60.01,moderate rain,32.7941,-79.8626,Best Western Patriots Point
85,Constitucion,CL,58.95,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
91,Lebu,CL,57.4,clear sky,-37.6167,-73.65,Hostal Las Lilas
98,Kutum,SD,55.72,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
99,Ahipara,NZ,71.98,clear sky,-35.1667,173.1667,Ahipara Holiday Park
102,Port Elizabeth,ZA,69.8,light rain,-33.918,25.5701,39 On Nile Guest House
104,Namibe,AO,73.47,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
108,Siddapur,IN,66.42,overcast clouds,14.3333,74.8833,Ibbani Homestay
109,Guerrero Negro,MX,68.5,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
117,Umm Bab,QA,55.99,clear sky,25.2142,50.8072,mike beach
133,Catuday,PH,73.02,few clouds,16.2923,119.8062,GResort
138,Hobyo,SO,74.35,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
141,Bluff,NZ,60.84,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
143,East London,ZA,72.82,few clouds,-33.0153,27.9116,Tu Casa
149,Xiongzhou,CN,58.91,scattered clouds,25.1167,114.3,Xinhewan Business Hotel
150,Sargur,IN,63.54,scattered clouds,11.9833,76.4167,VMH STAFF QUARTERS
156,Hadejia,NG,70.25,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
159,Lagoa,PT,61.5,overcast clouds,39.05,-27.9833,Casa Das Faias
162,Antofagasta,CL,68.0,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
166,Kruisfontein,ZA,68.0,light rain,-34.0033,24.7314,Oyster Bay House Rental
170,Dong Hoi,VN,68.88,scattered clouds,17.4833,106.6,Nam Long Hotel
