City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
0,Bestobe,52.4994,73.0975,7.63,95,100,8.25,KZ,overcast clouds,2021-01-31 23:53:49
1,Mar Del Plata,-38.0023,-57.5575,64.4,68,75,12.66,AR,broken clouds,2021-01-31 23:41:30
2,Ushuaia,-54.8,-68.3,53.6,62,90,8.05,AR,overcast clouds,2021-01-31 23:43:56
3,Hobart,-42.8794,147.3294,75.0,56,75,11.5,AU,broken clouds,2021-01-31 23:44:09
4,Kapaa,22.0752,-159.319,77.0,69,40,12.66,US,scattered clouds,2021-01-31 23:43:54
5,Georgetown,5.4112,100.3354,78.8,73,20,2.3,MY,few clouds,2021-01-31 23:44:03
6,Beloha,-25.1667,45.05,75.74,83,51,1.97,MG,broken clouds,2021-01-31 23:51:43
7,Zhireken,52.8249,117.3076,-30.82,81,83,2.95,RU,broken clouds,2021-01-31 23:53:50
8,Avarua,-21.2078,-159.775,78.8,89,90,3.44,CK,light rain,2021-01-31 23:44:00
9,Severo-Kurilsk,50.6789,156.125,22.84,91,92,39.55,RU,light snow,2021-01-31 23:43:33
10,Dudinka,69.4058,86.1778,-10.84,90,100,11.23,RU,light snow,2021-01-31 23:53:51
11,Rikitea,-23.1203,-134.9692,79.43,61,25,6.96,PF,scattered clouds,2021-01-31 23:43:55
12,Punta Arenas,-53.15,-70.9167,53.6,66,0,24.16,CL,clear sky,2021-01-31 23:41:03
13,Mantua,45.1667,10.7833,37.4,100,75,3.44,IT,broken clouds,2021-01-31 23:44:05
14,Albany,42.6001,-73.9662,17.01,55,100,2.19,US,overcast clouds,2021-01-31 23:43:58
15,Katsuura,35.1333,140.3,43.0,52,75,12.66,JP,light rain,2021-01-31 23:42:14
16,Lakatoro,-16.0999,167.4164,83.66,64,95,5.28,VU,overcast clouds,2021-01-31 23:53:52
17,Mataura,-46.1927,168.8643,74.59,43,48,1.19,NZ,scattered clouds,2021-01-31 23:43:55
18,Qaanaaq,77.484,-69.3632,-3.71,88,100,2.55,GL,overcast clouds,2021-01-31 23:43:18
19,Souillac,-20.5167,57.5167,80.6,78,75,13.8,MU,broken clouds,2021-01-31 23:44:12
20,Grindavik,63.8424,-22.4338,30.2,74,75,14.97,IS,broken clouds,2021-01-31 23:44:35
21,Tautira,-17.7333,-149.15,86.0,66,40,11.5,PF,light rain,2021-01-31 23:53:52
22,Imeni Babushkina,59.7573,43.1285,20.62,97,100,10.92,RU,snow,2021-01-31 23:53:52
23,Busselton,-33.65,115.3333,68.0,72,0,5.99,AU,clear sky,2021-01-31 23:44:05
24,Bredasdorp,-34.5322,20.0403,63.0,81,99,1.01,ZA,overcast clouds,2021-01-31 23:43:23
25,Erice,38.037,12.5865,59.0,82,40,23.02,IT,scattered clouds,2021-01-31 23:53:53
26,Vaini,-21.2,-175.2,80.6,89,90,10.36,TO,overcast clouds,2021-01-31 23:43:18
27,Yellowknife,62.456,-114.3525,-4.0,84,75,5.75,CA,broken clouds,2021-01-31 23:43:53
28,Thompson,55.7435,-97.8558,10.4,92,40,1.72,CA,scattered clouds,2021-01-31 23:44:03
29,Kars,40.602,43.095,23.0,80,0,5.75,TR,clear sky,2021-01-31 23:53:53
30,Hilo,19.7297,-155.09,78.8,61,40,3.44,US,scattered clouds,2021-01-31 23:43:57
31,Tasiilaq,65.6145,-37.6368,14.0,57,75,2.3,GL,broken clouds,2021-01-31 23:44:14
32,Barrow,71.2906,-156.7887,-18.4,69,75,10.36,US,broken clouds,2021-01-31 23:43:17
33,Cabo San Lucas,22.8909,-109.9124,75.99,64,90,11.5,MX,overcast clouds,2021-01-31 23:41:58
34,Turukhansk,65.8167,87.9833,-11.2,90,100,10.51,RU,overcast clouds,2021-01-31 23:53:54
35,Tual,-5.6667,132.75,81.9,75,100,12.33,ID,overcast clouds,2021-01-31 23:44:22
36,Hermanus,-34.4187,19.2345,63.0,81,93,1.01,ZA,overcast clouds,2021-01-31 23:44:03
37,Torbay,47.6666,-52.7314,32.0,93,90,17.27,CA,light snow,2021-01-31 23:43:27
38,Saint-Joseph,-21.3667,55.6167,80.6,69,0,13.8,RE,clear sky,2021-01-31 23:44:03
39,Kropotkin,45.4375,40.5756,41.16,86,89,5.14,RU,overcast clouds,2021-01-31 23:53:55
40,New Norfolk,-42.7826,147.0587,75.0,48,52,1.01,AU,broken clouds,2021-01-31 23:53:55
41,Makakilo City,21.3469,-158.0858,82.4,47,90,4.61,US,overcast clouds,2021-01-31 23:53:55
42,Iqaluit,63.7506,-68.5145,6.8,78,90,13.8,CA,light snow,2021-01-31 23:43:38
43,Dolores,-36.3132,-57.6792,64.47,68,99,11.88,AR,light rain,2021-01-31 23:44:34
44,Neiafu,-18.65,-173.9833,82.4,83,75,14.97,TO,moderate rain,2021-01-31 23:53:55
45,Kaitangata,-46.2817,169.8464,68.0,63,87,5.99,NZ,overcast clouds,2021-01-31 23:43:18
46,Airai,-8.9266,125.4092,65.64,99,100,3.94,TL,overcast clouds,2021-01-31 23:44:49
47,Chokurdakh,70.6333,147.9167,-20.85,87,87,12.12,RU,overcast clouds,2021-01-31 23:43:34
48,Puerto Ayora,-0.7393,-90.3518,80.01,87,85,5.01,EC,overcast clouds,2021-01-31 23:44:00
49,Kupang,-10.1667,123.5833,80.6,89,75,13.8,ID,broken clouds,2021-01-31 23:44:37
50,Suntar,62.1444,117.6319,-43.19,79,53,2.98,RU,broken clouds,2021-01-31 23:53:56
51,Khatanga,71.9667,102.5,-39.32,80,21,8.1,RU,few clouds,2021-01-31 23:53:56
52,Meulaboh,4.1363,96.1285,74.7,86,63,4.63,ID,broken clouds,2021-01-31 23:53:56
53,Sarkand,45.41,79.9186,33.69,70,99,3.98,KZ,overcast clouds,2021-01-31 23:53:56
54,Leh,34.1667,77.5833,5.72,66,99,0.49,IN,overcast clouds,2021-01-31 23:53:56
55,Castro,-24.7911,-50.0119,64.85,95,100,4.54,BR,overcast clouds,2021-01-31 23:44:10
56,Hithadhoo,-0.6,73.0833,82.33,74,54,9.84,MV,broken clouds,2021-01-31 23:44:17
57,Vostok,46.4856,135.8833,3.72,95,100,3.0,RU,light snow,2021-01-31 23:44:11
58,Chimay,50.0486,4.3171,39.99,93,90,6.91,BE,overcast clouds,2021-01-31 23:53:57
59,Thouars,46.976,-0.2151,51.01,1,100,1.99,FR,overcast clouds,2021-01-31 23:53:58
60,Talara,-4.5772,-81.2719,75.6,74,86,14.76,PE,overcast clouds,2021-01-31 23:53:58
61,Cape Town,-33.9258,18.4232,66.0,77,20,18.41,ZA,few clouds,2021-01-31 23:43:59
62,Orange Cove,36.6244,-119.3137,63.0,42,1,4.61,US,clear sky,2021-01-31 23:53:58
63,Ambon,-3.6954,128.1814,86.0,70,40,3.44,ID,scattered clouds,2021-01-31 23:53:58
64,Caldwell,43.6629,-116.6874,53.6,35,20,21.85,US,few clouds,2021-01-31 23:53:58
65,Pontianak,-0.0333,109.3333,75.2,94,40,1.81,ID,scattered clouds,2021-01-31 23:52:04
66,Esperance,-33.8667,121.9,62.6,82,26,8.05,AU,scattered clouds,2021-01-31 23:44:47
67,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,75.76,94,100,0.72,BR,overcast clouds,2021-01-31 23:49:48
68,Filingue,14.3521,3.3168,70.2,19,77,9.57,NE,broken clouds,2021-01-31 23:53:59
69,Pilar,-9.5972,-35.9567,75.2,94,0,4.61,BR,clear sky,2021-01-31 23:53:59
70,Victoria,22.2855,114.1577,64.0,86,1,1.99,HK,clear sky,2021-01-31 23:49:35
71,Oxelosund,58.6706,17.1015,10.4,92,0,5.75,SE,clear sky,2021-01-31 23:53:59
72,Atambua,-9.1061,124.8925,74.07,92,100,3.96,ID,overcast clouds,2021-01-31 23:44:31
73,Axim,4.8699,-2.2405,79.16,88,27,9.1,GH,scattered clouds,2021-01-31 23:43:46
74,Kununurra,-15.7667,128.7333,82.4,89,40,1.88,AU,scattered clouds,2021-01-31 23:53:59
75,Chapais,49.7834,-74.8492,-4.0,77,1,2.3,CA,clear sky,2021-01-31 23:54:00
76,Port Alfred,-33.5906,26.891,71.01,82,9,7.0,ZA,light rain,2021-01-31 23:43:22
77,Coihaique,-45.5752,-72.0662,75.2,33,0,6.91,CL,clear sky,2021-01-31 23:44:29
78,Soure,-0.7167,-48.5233,79.93,84,55,11.59,BR,broken clouds,2021-01-31 23:54:00
79,Caravelas,-17.7125,-39.2481,76.08,85,77,6.26,BR,broken clouds,2021-01-31 23:44:28
80,Hamilton,39.1834,-84.5333,37.4,93,90,5.75,US,light rain,2021-01-31 23:43:01
81,Brechin,56.7299,-2.6573,33.8,93,40,6.91,GB,light rain,2021-01-31 23:54:00
82,Majene,-3.5403,118.9707,80.04,68,100,3.58,ID,overcast clouds,2021-01-31 23:44:26
83,Mount Pleasant,32.7941,-79.8626,60.01,100,94,13.8,US,moderate rain,2021-01-31 23:54:01
84,Fairbanks,64.8378,-147.7164,-2.2,84,90,1.39,US,overcast clouds,2021-01-31 23:44:17
